Timestamp,Speed
0:00,20.4
0:05,21.3
0:10,23.5
0:15,40.2
0:20,27.6
0:25,27.9
0:30,26.9
0:35,25.4
0:40,25.8
0:45,24.7
0:50,20.4
0:55,21.3
1:00,23.5
1:05,40.2
1:10,27.6
1:15,27.9
1:20,26.9
1:25,25.4
1:30,25.8
1:35,24.7
1:40,20.4
1:45,21.3
1:50,23.5
1:55,40.2
2:00,27.6
2:05,27.9
2:10,26.9
2:15,25.4
2:20,25.8
2:25,24.7
2:30,27.9
2:35,26.9
2:40,25.4
2:45,25.8
2:50,24.7
2:55,20.4
3:00,21.3
3:05,23.5
3:10,40.2
3:15,27.6
3:20,27.9
3:25,26.9
3:30,25.4
3:35,25.8
3:40,24.7
3:45,27.9
3:50,26.9
3:55,25.4
4:00,25.8
4:05,24.7
4:10,20.4
4:15,21.3
4:20,23.5
4:25,40.2
4:30,27.6
4:35,27.9
4:40,26.9
4:45,25.4
4:50,25.8
4:45,24.7
5:00,20.4
5:05,21.3
5:10,23.5
5:15,40.2
5:20,27.6
5:25,27.9
5:30,26.9
5:35,25.4
5:40,25.8
5:45,24.7
5:50,20.4
5:55,21.3
6:00,23.5
6:05,40.2
6:10,27.6
6:15,27.9
6:20,26.9
6:25,25.4
6:30,25.8
6:35,24.7
6:40,20.4
6:45,21.3
6:50,23.5
6:55,40.2
7:00,27.6
7:05,27.9
7:10,26.9
7:15,25.4
7:20,25.8
7:25,24.7
7:30,27.9
7:35,26.9
7:40,25.4
7:45,25.8
7:50,24.7
7:55,20.4
8:00,21.3
8:05,23.5
8:10,40.2
8:15,27.6
8:20,27.9
8:25,26.9
8:30,25.4
8:35,25.8
8:40,24.7
8:45,27.9
8:50,26.9
8:55,25.4
9:00,25.8
9:05,24.7
9:10,20.4
9:15,20.4
9:20,21.3
9:25,23.5
9:30,40.2
9:35,27.6
9:40,27.9
9:45,26.9
9:50,25.4
9:55,25.8
10:00,24.7
10:05,20.4
10:10,21.3
10:15,23.5
10:20,40.2
10:25,27.6
10:30,27.9
10:35,26.9
10:40,25.4
10:45,25.8
10:50,24.7
10:55,20.4
11:00,21.3
11:05,23.5
11:10,40.2
11:15,27.6
11:20,27.9
11:25,26.9
11:30,25.4
11:35,25.8
11:40,24.7
11:45,27.9
11:50,26.9
11:55,25.4
12:00,25.8
12:05,24.7
12:10,20.4
12:15,21.3
12:20,23.5
12:25,40.2
12:30,27.6
12:35,27.9
12:40,26.9
12:45,25.4
12:50,25.8
12:55,24.7
13:00,27.9
13:05,26.9
13:10,25.4
13:15,25.8
13:20,24.7
13:25,20.4
13:40,20.4
13:45,21.3
13:50,23.5
13:55,40.2
14:00,27.6
14:05,27.9
14:10,26.9
14:15,25.4
14:20,25.8
14:25,24.7
14:30,20.4
14:35,21.3
14:40,23.5
14:45,40.2
14:50,27.6
14:55,27.9
15:00,26.9
15:05,25.4
15:10,25.8
15:15,24.7
15:20,20.4
15:25,21.3
15:30,23.5
15:35,40.2
15:40,27.6
15:45,27.9
15:50,26.9
15:55,25.4
16:00,25.8
16:05,24.7
16:10,27.9
16:15,26.9
16:20,25.4
16:25,25.8
16:30,24.7
16:35,20.4
16:40,21.3
16:45,23.5
16:50,40.2
16:55,27.6
17:00,27.9
17:05,26.9
17:10,25.4
17:15,25.8
17:20,24.7
17:25,27.9
17:30,26.9
17:35,25.4
17:40,25.8
17:45,24.7
17:50,20.4
17:55,20.4
18:00,21.3
18:05,23.5
18:10,40.2
18:15,27.6
18:20,27.9
18:25,26.9
18:30,25.4
18:35,25.8
18:40,24.7
18:45,20.4
18:50,21.3
18:55,23.5
19:00,40.2
19:05,27.6
19:10,27.9
19:15,26.9
19:20,25.4
19:25,25.8
19:30,24.7
19:35,20.4
19:40,21.3
19:45,23.5
19:50,40.2
19:55,27.6
20:00,27.9
20:05,26.9
20:10,25.4
20:15,25.8
20:20,24.7
20:25,27.9
20:30,26.9
20:35,25.4
20:40,25.8
20:45,24.7
20:50,20.4
20:55,21.3
21:00,23.5
21:05,40.2
21:10,27.6
21:15,27.9
21:20,26.9
21:25,25.4
21:30,25.8
21:35,24.7
21:40,27.9
21:45,26.9
21:50,25.4
21:55,25.8
22:00,24.7
22:05,20.4
22:10,20.4
22:15,21.3
22:20,23.5
22:25,40.2
22:30,27.6
22:35,27.9
22:40,26.9
22:45,25.4
22:50,25.8
22:55,24.7
23:00,20.4
23:05,21.3
23:10,23.5
23:15,40.2
23:20,27.6
23:25,27.9
23:30,26.9
23:35,25.4
23:40,25.8
23:45,24.7
23:50,20.4
23:55,21.3
23:59,23.5
